location,geom,latitude,longitude
"(29.913976284551, -89.9804672915663)",,29.91397628,-89.98046729
"(29.9428911196964, -90.1234015868808)",,29.94289112,-90.12340159
"(29.9407815183673, -90.0893608577967)",,29.94078152,-90.08936086
"(29.9725371944152, -90.1056278146203)",,29.97253719,-90.10562781
"(29.9369561439994, -90.1019940463698)",,29.93695614,-90.10199405
"(30.025484691837, -90.0268798916947)",,30.02548469,-90.02687989
"(29.9517703532588, -90.1057856286572)",,29.95177035,-90.10578563
"(29.9896892445296, -90.0464646716167)",,29.98968924,-90.04646467
"(29.9687918815349, -90.1117411703493)",,29.96879188,-90.11174117
"(30.0183314079043, -90.015122562065)",,30.01833141,-90.01512256
"(30.023402136213, -89.9594135889396)",,30.02340214,-89.95941359
"(29.9529941844519, -90.1365247013619)",,29.95299418,-90.1365247
"(30.0345060886442, -89.9628117616007)",,30.03450609,-89.96281176
"(30.0403354355064, -89.9944737134612)",,30.04033544,-89.99447371
"(29.9727936213372, -90.0890915202062)",,29.97279362,-90.08909152
"(29.9398421056441, -90.1164174098352)",,29.93984211,-90.11641741
"(29.9684218999962, -90.0459967317404)",,29.9684219,-90.04599673
"(29.9548108068681, -90.1187102726629)",,29.95481081,-90.11871027
"(29.920352641947, -90.0047865504566)",,29.92035264,-90.00478655
"(29.9198468374525, -89.9913416035894)",,29.91984684,-89.9913416
"(30.0040044240443, -90.0988750852764)",,30.00400442,-90.09887509
"(29.9471320138966, -90.1236585321551)",,29.94713201,-90.12365853
"(29.9648101981476, -90.0842361494839)",,29.9648102,-90.08423615
"(29.9655222997432, -90.1100308046188)",,29.9655223,-90.1100308
"(29.9195479744185, -90.0948273010487)",,29.91954797,-90.0948273
"(29.9403608450992, -90.1339228814033)",,29.94036085,-90.13392288
"(30.0073003279099, -90.1082216107777)",,30.00730033,-90.10822161
"(29.9554329535596, -90.1133126748398)",,29.95543295,-90.11331267
"(29.9487694717856, -90.1300861474083)",,29.94876947,-90.13008615
"(29.9692404870138, -90.0371676379775)",,29.96924049,-90.03716764
"(30.0318829761429, -89.9707479752501)",,30.03188298,-89.97074798
"(30.0250661719924, -89.9626256208314)",,30.02506617,-89.96262562
"(30.0060414054649, -90.0569360701178)",,30.00604141,-90.05693607
"(30.009696393432, -90.0814849402868)",,30.00969639,-90.08148494
"(29.9329458536286, -90.1093100506537)",,29.93294585,-90.10931005
"(29.958999726272, -90.1126486406019)",,29.95899973,-90.11264864
"(29.9492974445591, -90.0940895893998)",,29.94929744,-90.09408959
"(30.0141642242078, -90.0511157257014)",,30.01416422,-90.05111573
"(29.9830926862208, -90.0613127005384)",,29.98309269,-90.0613127
"(29.9483913520384, -90.1325064539742)",,29.94839135,-90.13250645
"(30.0205485149546, -90.0593983866723)",,30.02054851,-90.05939839
"(30.0123805615803, -90.0628284420737)",,30.01238056,-90.06282844
"(29.9815956085382, -90.0617346151115)",,29.98159561,-90.06173462
"(29.9396771315502, -90.10814241159)",,29.93967713,-90.10814241
"(29.966967497214, -90.1257310330295)",,29.9669675,-90.12573103
"(29.9681295791807, -90.0734669462487)",,29.96812958,-90.07346695
"(29.9344500263021, -90.0713346144002)",,29.93445003,-90.07133461
"(29.9712685397082, -90.0354203335578)",,29.97126854,-90.03542033
"(29.9861637513843, -90.0799898298348)",,29.98616375,-90.07998983
"(29.9786882482581, -90.0574463839914)",,29.97868825,-90.05744638
"(30.014555686451, -90.112161991205)",,30.01455569,-90.11216199
"(30.0129383393317, -90.0588202451589)",,30.01293834,-90.05882025
"(29.9218973766256, -90.1194194597831)",,29.92189738,-90.11941946
"(29.9614256828206, -90.0951324858044)",,29.96142568,-90.09513249
"(29.9733539004527, -90.1214934702282)",,29.9733539,-90.12149347
"(30.0368835901519, -89.9300351796031)",,30.03688359,-89.93003518
"(29.9405181261706, -90.0196277021869)",,29.94051813,-90.0196277
"(29.9704545478689, -90.0835897711984)",,29.97045455,-90.08358977
"(29.9499956541784, -90.1068553540542)",,29.94999565,-90.10685535
"(30.0056780997186, -90.0491495323216)",,30.0056781,-90.04914953
"(29.9207160258142, -89.9783553622211)",,29.92071603,-89.97835536
"(29.9286790977019, -90.0892877645905)",,29.9286791,-90.08928776
"(29.9522046383526, -90.125802943595)",,29.95220464,-90.12580294
"(29.9729902185488, -90.049128802966)",,29.97299022,-90.0491288
"(29.9490101103322, -90.1298482265344)",,29.94901011,-90.12984823
"(29.9215566650722, -90.1189153143719)",,29.92155667,-90.11891531
"(30.042132914968, -89.995493649074)",,30.04213291,-89.99549365
"(29.9977638652753, -90.0569423418534)",,29.99776387,-90.05694234
"(30.007114987065, -90.111114967033)",,30.00711499,-90.11111497
"(29.9340795917897, -90.131843728676)",,29.93407959,-90.13184373
"(29.9379571715189, -90.1329722128091)",,29.93795717,-90.13297221
"(30.0094028779608, -90.0824999818431)",,30.00940288,-90.08249998
"(29.9814647161834, -90.1001716879231)",,29.98146472,-90.10017169
"(29.9757969364226, -90.1125228312712)",,29.97579694,-90.11252283
"(29.9233756881137, -90.0768871197948)",,29.92337569,-90.07688712
"(29.9228999327024, -89.9980349214098)",,29.92289993,-89.99803492
"(30.027913046993, -89.9605171670842)",,30.02791305,-89.96051717
"(29.9917608524426, -90.1017949901922)",,29.99176085,-90.10179499
"(29.934447386055, -90.1313259300363)",,29.93444739,-90.13132593
